id,categorie,categorie_slug,niche,status,prioriteit,fit,upsell,zoektermen,nace,notities
1,Industrie & productie,01-industrie-en-productie,Machinebouw & industriële automatisering,kandidaat,,"Technische, kapitaalkrachtige KMO's; zaakvoerder vaak weinig digitaal-mee; sterke nood aan online geloofwaardigheid bij internationale klanten.",Bedrijfswebsite + portfolio | Backend/orderbeheer | Klantportaal | BI-dashboard productie,machinebouw automatisering bedrijf Vlaanderen | industriële automatisering KMO België,28.99 / 33.20,
2,Industrie & productie,01-industrie-en-productie,Metaalbewerking & verspaning (CNC),kandidaat,,Onderaannemers met B2B-klanten die online betrouwbaar moeten ogen; offerteflow is vaak chaotisch.,Website | Offerte-/aanvraagsysteem | Backend werkbonbeheer,CNC verspaning bedrijf Vlaanderen | metaalbewerking onderaanneming België,25.62,
3,Industrie & productie,01-industrie-en-productie,Lasbedrijven & staalconstructie,kandidaat,,"Projectgedreven, groeiende ploegen; website matcht vaak niet met kwaliteit van het werk.",Website + realisaties | Projectopvolging backend | Lead magnet (staalcalculator),staalconstructie bedrijf Vlaanderen | lasbedrijf constructiewerken België,25.11 / 25.62,
4,Industrie & productie,01-industrie-en-productie,Verpakkingsbedrijven & verpakkingsmachines,kandidaat,,Industriële niche met internationale klanten; professionele uitstraling weegt zwaar.,Website meertalig | Productcatalogus backend | Klantportaal bestellingen,verpakkingsbedrijf Vlaanderen | verpakkingsmachines fabrikant België,82.92 / 28.93,
5,Industrie & productie,01-industrie-en-productie,Kunststofverwerking & spuitgieten,kandidaat,,"Technische maakindustrie; weinig marketingfocus, veel upsell-potentieel in systemen.",Website | Productieplanning backend | BI-dashboard,kunststofverwerking spuitgieten Vlaanderen | plastic spuitgieten bedrijf België,22.29,
6,Industrie & productie,01-industrie-en-productie,Matrijzen- & gereedschapsbouw,kandidaat,,"Hooggespecialiseerd, B2B-toeleverancier; sterke baat bij online vindbaarheid en cases.",Website + cases | Offertesysteem | Klantportaal,matrijzenbouw bedrijf Vlaanderen | gereedschapsbouw toolmaker België,25.73,
7,Industrie & productie,01-industrie-en-productie,Industrieel onderhoud & technische diensten,kandidaat,,Service-gedreven met terugkerende klanten; planning en interventiebeheer schreeuwen om software.,Website | Interventie-/ticketsysteem backend | Klantportaal,industrieel onderhoud technische diensten Vlaanderen | industriële maintenance bedrijf België,33.12 / 33.20,
8,Industrie & productie,01-industrie-en-productie,"Productie bouwmaterialen (beton, prefab)",kandidaat,,Zware industrie met B2B-afnemers; vaak verouderde online aanwezigheid.,Website | Productcatalogus | Bestel-/offerteportaal,prefab beton fabrikant Vlaanderen | bouwmaterialen producent België,23.61 / 23.63,
9,Industrie & productie,01-industrie-en-productie,Houtverwerking & industriële schrijnwerk,kandidaat,,Maakbedrijven met groeiende ploegen; visueel werk dat online sterk kan converteren.,Website + realisaties | Offertesysteem op maat | Backend projectbeheer,industriële schrijnwerkerij Vlaanderen | houtverwerkend bedrijf België,16.23,
10,Industrie & productie,01-industrie-en-productie,Technisch textiel & non-food textielproductie,kandidaat,,Halal-conforme productieniche; B2B-leveranciers met internationale ambities.,Website meertalig | Productcatalogus backend | Klantportaal,technisch textiel producent Vlaanderen | textielbedrijf B2B België,13.96,
11,Groothandel & distributie,02-groothandel-en-distributie,Technische groothandels (industriële toebehoren),kandidaat,,"Veel SKU's, B2B-klanten; ideale fit voor webshop + klantportaal + voorraad-BI.",B2B-webshop | Klantportaal met prijzen | BI-dashboard voorraad/omzet,technische groothandel industriële toebehoren Vlaanderen | groothandel machineonderdelen België,46.69 / 46.74,
12,Groothandel & distributie,02-groothandel-en-distributie,Bouwmaterialen groothandel,kandidaat,,Grote B2B-volumes; aannemers willen online bestellen en voorraad zien.,B2B-webshop | Offerte-/bestelportaal | BI-dashboard,groothandel bouwmaterialen Vlaanderen | bouwmaterialen leverancier België,46.73,
13,Groothandel & distributie,02-groothandel-en-distributie,Elektromateriaal groothandel,kandidaat,,Installateurs als vaste klanten; sterke nood aan klantportaal en snelle bestelflow.,B2B-webshop | Klantportaal | CRM,groothandel elektromateriaal Vlaanderen | elektrotechnische groothandel België,46.69,
14,Groothandel & distributie,02-groothandel-en-distributie,Sanitair & verwarming groothandel,kandidaat,,Loodgieters/HVAC als afnemers; offerte- en bestelsystemen besparen veel telefoonwerk.,B2B-webshop | Offertesysteem | Klantportaal,groothandel sanitair verwarming Vlaanderen | sanitair groothandel België,46.73 / 46.74,
15,Groothandel & distributie,02-groothandel-en-distributie,Groothandel in machines & gereedschap,kandidaat,,Technische verkoop; cases en specs online maken het verschil.,Website + catalogus | Offertesysteem | Klantportaal,groothandel machines gereedschap Vlaanderen | machinehandel B2B België,46.62 / 46.69,
16,Groothandel & distributie,02-groothandel-en-distributie,Groothandel in verpakkingsmateriaal,kandidaat,,Herhaalaankopen; webshop + herbestel-flow verhoogt omzet direct.,B2B-webshop | Herbestelportaal | BI-dashboard,groothandel verpakkingsmateriaal Vlaanderen | verpakkingen leverancier B2B België,46.76,
17,Groothandel & distributie,02-groothandel-en-distributie,Groothandel industriële chemie (non-haram),kandidaat,,Halal-conform gefilterd; technische B2B-niche met dossier-/veiligheidsbeheer.,Website | Documentportaal (SDS) | Bestelsysteem,groothandel industriële chemie Vlaanderen | chemische producten B2B leverancier België,46.75,
18,Groothandel & distributie,02-groothandel-en-distributie,Voedingsgroothandel (halal-conform),kandidaat,,Enkel halal-conforme segmenten (geen varken/alcohol); B2B-afnemers willen online bestellen.,B2B-webshop | Klantportaal | Routeplanning backend,halal voedingsgroothandel Vlaanderen | foodservice groothandel B2B België,46.38 / 46.39,
19,Transport & logistiek,03-transport-en-logistiek,Transportbedrijven (wegtransport goederen),kandidaat,,"Operationeel zwaar; weinig marketing, veel nood aan klantportaal en track & trace.",Website | Klantportaal track & trace | BI-dashboard ritten,transportbedrijf wegtransport Vlaanderen | goederentransport KMO België,49.41,
20,Transport & logistiek,03-transport-en-logistiek,"Logistiek, warehousing & fulfilment",kandidaat,,Schaalt snel; e-commerceklanten verwachten dashboards en API-koppelingen.,Website | Klant-dashboard voorraad | Fulfilment-backend,logistiek fulfilment bedrijf Vlaanderen | warehousing dienstverlener België,52.10,
21,Transport & logistiek,03-transport-en-logistiek,Koeriers- & expeditiebedrijven,kandidaat,,Tijdkritisch; online boeken en opvolgen is een directe verkoophefboom.,Website | Online boekingssysteem | Klantportaal,koeriersdienst expeditie Vlaanderen | expresvervoer bedrijf België,53.20,
22,Transport & logistiek,03-transport-en-logistiek,Containerverhuur & afvalcontainers,kandidaat,,Lokale B2B/B2C-mix; online container bestellen verlaagt telefoondruk fors.,Website | Online bestel-/boekingssysteem | Planning backend,containerverhuur afvalcontainer Vlaanderen | containerdienst bedrijf België,38.11 / 77.39,
23,Transport & logistiek,03-transport-en-logistiek,Verhuisbedrijven (kantoor & B2B),kandidaat,,Offerte-intensief; online intake en planning besparen veel tijd.,Website | Online offerte-/intakeformulier | Planning backend,verhuisbedrijf kantoorverhuis Vlaanderen | professionele verhuizers België,49.42,
24,Transport & logistiek,03-transport-en-logistiek,Internationale expeditie & douane,kandidaat,,Specialistische B2B-niche; vertrouwen en meertaligheid online wegen zwaar.,Website meertalig | Klantportaal documenten | CRM,douane-expediteur Vlaanderen | internationale expeditie bedrijf België,52.29,
25,Bouw & technische installatie,04-bouw-en-technische-installatie,Algemene aannemers (utiliteitsbouw),kandidaat,,"Grotere ploegen, B2B-projecten; portfolio en aanvraagflow zijn directe omzetdrijvers.",Website + realisaties | Offerteaanvraag-systeem | Projectopvolging backend,algemene aannemer utiliteitsbouw Vlaanderen | bouwbedrijf KMO België,41.20,
26,Bouw & technische installatie,04-bouw-en-technische-installatie,Dakwerkers,kandidaat,,Bestaande BelgaLink-asset (salespagina + cold-call offer); zaakvoerders weinig digitaal-mee.,Website + realisaties | Lead magnet (dakcheck) | Offertesysteem,dakwerken bedrijf Vlaanderen | dakwerker professioneel België,43.91,
27,Bouw & technische installatie,04-bouw-en-technische-installatie,HVAC & klimaatinstallatie,kandidaat,,Onderhoudscontracten = terugkerende omzet; planning- en servicesoftware loont.,Website | Onderhoudscontract-portaal | Interventieplanning backend,HVAC klimaatinstallatie bedrijf Vlaanderen | klimatisatie installateur België,43.22,
28,Bouw & technische installatie,04-bouw-en-technische-installatie,Koeltechniek,kandidaat,,Technische B2B-niche met servicecontracten; sterke fit voor interventiebeheer.,Website | Interventie-/ticketsysteem | Klantportaal,koeltechniek bedrijf Vlaanderen | industriële koeling installateur België,43.22 / 33.12,
29,Bouw & technische installatie,04-bouw-en-technische-installatie,Elektrotechnische installatie (industrieel),kandidaat,,Projectgedreven met groeiende ploegen; offerte- en planningsystemen besparen tijd.,Website | Offerte-/projectsysteem | Backend werkbonnen,elektrotechnische installatie industrieel Vlaanderen | industriële elektriciteit bedrijf België,43.21,
